Name
Mason Mount
Edouard Mendy
Timo Werner
Ben Chilwell
Reece James
César Azpilicueta
N'Golo Kanté
Jorginho
Thiago Silva
Kurt Zouma
Mateo Kovačić
Antonio Rüdiger
Christian Pulisic
Kai Havertz
Andreas Christensen
Hakim Ziyech
Tammy Abraham
Marcos Alonso
Callum Hudson-Odoi
Olivier Giroud
Kepa Arrizabalaga
Billy Gilmour
Willy Caballero
Ruben Loftus-Cheek
Emerson Palmieri
Fikayo Tomori
Ross Barkley
Ederson
Rúben Dias
Rodri
Raheem Sterling
João Cancelo
Bernardo Silva
İlkay Gündoğan
Kevin De Bruyne
Riyad Mahrez
Gabriel Jesus
Kyle Walker
John Stones
Phil Foden
Oleksandr Zinchenko
Ferrán Torres
Aymeric Laporte
Fernandinho
Benjamin Mendy
Nathan Aké
Sergio Agüero
Eric García
Scott Carson
Zack Steffen
Liam Delap
Bruno Fernandes
Aaron Wan-Bissaka
Harry Maguire
Marcus Rashford
Luke Shaw
Victor Lindelöf
Fred
David de Gea
Scott McTominay
Paul Pogba
Mason Greenwood
Anthony Martial
Edinson Cavani
Dean Henderson
Nemanja Matić
Daniel James
Eric Bailly
Alex Telles
Juan Mata
Donny van de Beek
Axel Tuanzebe
Brandon Williams
Amad Diallo
Anthony Elanga
Timothy Fosu-Mensah
Shola Shoretire
Odion Ighalo
Hannibal Mejbri
William Thomas Fish
Andrew Robertson
Mohamed Salah
Trent Alexander-Arnold
Georginio Wijnaldum
Alisson
Roberto Firmino
Sadio Mané
Fabinho
Thiago Alcántara
Jordan Henderson
Nathaniel Phillips
Curtis Jones
Diogo Jota
James Milner
Ozan Kabak
Joël Matip
Rhys Williams
Naby Keïta
Joe Gomez
Xherdan Shaqiri
Virgil van Dijk
Adrián
Neco Williams
Takumi Minamino
Alex Oxlade-Chamberlain
Divock Origi
Caoimhín Kelleher
Kostas Tsimikas
Kasper Schmeichel
Youri Tielemans
Jamie Vardy
Jonny Evans
Timothy Castagne
Wesley Fofana
Wilfred Ndidi
James Maddison
James Justin
Harvey Barnes
Çağlar Söyüncü
Marc Albrighton
Kelechi Iheanacho
Nampalys Mendy
Ayoze Pérez
Luke Thomas
Ricardo Pereira
Dennis Praet
Daniel Amartey
Christian Fuchs
Hamza Choudhury
Cengiz Ünder
Sidnei Tavares
Islam Slimani
Demarai Gray
Wes Morgan
Khanya Leshabela
Tomáš Souček
Aaron Cresswell
Łukasz Fabiański
Vladimír Coufal
Declan Rice
Pablo Fornals
Jarrod Bowen
Angelo Ogbonna
Michail Antonio
Craig Dawson
Jesse Lingard
Issa Diop
Saïd Benrahma
Fabián Balbuena
Arthur Masuaku
Sébastien Haller
Mark Noble
Ryan Fredericks
Manuel Lanzini
Ben Johnson
Darren Randolph
Andriy Yarmolenko
Robert Snodgrass
Felipe Anderson
Pierre Højbjerg
Hugo Lloris
Son Heung-min
Harry Kane
Eric Dier
Tanguy Ndombele
Sergio Reguilón
Toby Alderweireld
Serge Aurier
Davinson Sánchez
Moussa Sissoko
Lucas Moura
Ben Davies
Matt Doherty
Steven Bergwijn
Giovani Lo Celso
